portfolio,date,net_return,gross_return,tc_cost,turnover,n_stocks
vw_gr_top_n_25,2024-12-31,-0.053033266826954015,-0.052673266826954016,0.00035999999999999997,0.36,24
vw_gr_top_n_25,2025-01-31,-0.006354181277347797,-0.006154181277347797,0.00019999999999999996,0.19999999999999996,25
vw_gr_top_n_25,2025-02-28,-0.03134116958061408,-0.03126116958061408,7.999999999999997e-05,0.07999999999999996,24
vw_gr_top_n_25,2025-03-31,-0.00032076463267283266,-0.00016076463267283262,0.00016000000000000004,0.16000000000000003,24
vw_gr_top_n_25,2025-04-30,-0.027251683141157265,-0.026771683141157264,0.00048,0.48,24
vw_gr_top_n_25,2025-05-31,0.04632703261272392,0.046527032612723916,0.00019999999999999996,0.19999999999999996,25
vw_gr_top_n_25,2025-06-30,0.0014005173548889093,0.0018005173548889092,0.0004,0.4,25
vw_gr_top_n_25,2025-07-31,0.0265812855873545,0.0267812855873545,0.00019999999999999996,0.19999999999999996,25
vw_gr_top_n_25,2025-08-31,0.07197727409426613,0.07205727409426613,7.999999999999997e-05,0.07999999999999996,25
vw_gr_top_n_25,2025-09-30,0.03208831314194685,0.03236831314194685,0.00028000000000000003,0.28,25
vw_gr_top_n_25,2025-10-31,-0.028440506331969418,-0.028280506331969418,0.00016000000000000004,0.16000000000000003,25
vw_gr_top_n_25,2025-11-30,0.050748005280653756,0.05082800528065375,7.999999999999997e-05,0.07999999999999996,25
vw_gr_top_n_25,2025-12-31,0.020303702612887053,0.020623702612887054,0.0003199999999999999,0.31999999999999995,25
vw_gr_top_n_25,2026-01-31,0.08167047850777918,0.08183047850777918,0.00016000000000000004,0.16000000000000003,25
vw_gr_top_n_25,2026-02-28,0.05516704994513653,0.05532704994513653,0.00016000000000000004,0.16000000000000003,25
vw_gr_top_n_25,2026-03-31,-0.05167444709463108,-0.05159444709463108,7.999999999999997e-05,0.07999999999999996,25
vw_gr_top_n_25,2026-04-30,0.06855042191001627,0.06887042191001627,0.0003199999999999999,0.31999999999999995,25
vw_gr_top_n_25,2026-05-31,-0.00968786595838347,-0.00960786595838347,7.999999999999997e-05,0.07999999999999996,25
vw_gr_top_n_10,2008-11-30,0.028320987654321006,0.029320987654321007,0.001,1.0,1
